Device 2, Port 2: Setting port state as Forwarding

Device 3, Port 2: Setting port state as Forwarding

Device 7, Port 2: Setting port state as Forwarding

Device 8, Port 1: Setting port state as Forwarding

Device 9, Port 1: Setting port state as Forwarding

Device 9, Port 3: Setting port state as Forwarding

Device 10, Port 1: Setting port state as Forwarding

Device 10, Port 3: Setting port state as Forwarding

Device 11, Port 1: Setting port state as Forwarding

Device 11, Port 3: Setting port state as Forwarding

Device 12, Port 1: Setting port state as Forwarding

Device 12, Port 3: Setting port state as Forwarding

Device 13, Port 1: Setting port state as Forwarding

Device 13, Port 3: Setting port state as Forwarding

Device 14, Port 1: Setting port state as Forwarding

Device 14, Port 3: Setting port state as Forwarding

Device 15, Port 1: Setting port state as Forwarding

Device 15, Port 3: Setting port state as Forwarding

Device 16, Port 1: Setting port state as Forwarding

Device 16, Port 3: Setting port state as Forwarding

Device 17, Port 1: Setting port state as Forwarding

Device 17, Port 3: Setting port state as Forwarding

Device 18, Port 1: Setting port state as Forwarding

Device 18, Port 3: Setting port state as Forwarding

Device 19, Port 1: Setting port state as Forwarding

Device 19, Port 3: Setting port state as Forwarding

Device 20, Port 1: Setting port state as Forwarding

Device 20, Port 3: Setting port state as Forwarding

Device 21, Port 1: Setting port state as Forwarding

Device 21, Port 3: Setting port state as Forwarding

Device 22, Port 1: Setting port state as Forwarding

Device 22, Port 3: Setting port state as Forwarding

Device 23, Port 1: Setting port state as Forwarding

Device 23, Port 3: Setting port state as Forwarding

Device 24, Port 1: Setting port state as Forwarding

Device 24, Port 3: Setting port state as Forwarding

Device 25, Port 1: Setting port state as Forwarding

Device 25, Port 3: Setting port state as Forwarding

Device 26, Port 1: Setting port state as Forwarding

Device 26, Port 3: Setting port state as Forwarding

Device 27, Port 1: Setting port state as Forwarding

Device 27, Port 3: Setting port state as Forwarding

Device 28, Port 1: Setting port state as Forwarding

Device 28, Port 3: Setting port state as Forwarding

Device 29, Port 1: Setting port state as Forwarding

Device 29, Port 3: Setting port state as Forwarding

Device 30, Port 1: Setting port state as Forwarding

Device 30, Port 3: Setting port state as Forwarding

Device 31, Port 1: Setting port state as Forwarding

Device 31, Port 3: Setting port state as Forwarding

Device 32, Port 1: Setting port state as Forwarding

Device 32, Port 3: Setting port state as Forwarding

Device 33, Port 1: Setting port state as Forwarding

