Time(ms),UE Id,Serving Cell,Target Cell,Serving SSB SNR(dB),Target SSB SNR(dB),Remarks,
320.50,UE_65,MACRO CELL GNB SECTOR ANT_28,MACRO CELL GNB SECTOR ANT_13,1.719019,26.094571,Handover offset conditions met,
320.50,UE_65,MACRO CELL GNB SECTOR ANT_28,MACRO CELL GNB SECTOR ANT_20,1.719019,10.535036,Handover offset conditions met,
320.50,UE_65,MACRO CELL GNB SECTOR ANT_28,MACRO CELL GNB SECTOR ANT_25,1.719019,6.463033,Handover offset conditions met,
320.50,UE_65,MACRO CELL GNB SECTOR ANT_28,MACRO CELL GNB SECTOR ANT_29,1.719019,5.251390,Handover offset conditions met,
320.50,UE_65,MACRO CELL GNB SECTOR ANT_28,MACRO CELL GNB SECTOR ANT_40,1.719019,8.041750,Handover offset conditions met,
320.50,UE_61,MACRO CELL GNB SECTOR ANT_29,MACRO CELL GNB SECTOR ANT_20,15.300796,20.432517,Handover offset conditions met,
320.50,UE_61,MACRO CELL GNB SECTOR ANT_29,MACRO CELL GNB SECTOR ANT_21,15.300796,17.197623,Handover offset conditions met,
320.50,UE_67,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_18,-0.365298,13.364221,Handover offset conditions met,
320.50,UE_67,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_24,-0.365298,5.474600,Handover offset conditions met,
320.50,UE_67,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_25,-0.365298,3.720116,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_9,0.772703,3.470006,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_12,0.772703,1.964469,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_18,0.772703,8.216396,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_27,0.772703,4.456722,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_39,0.772703,2.644059,Handover offset conditions met,
320.50,UE_72,MACRO CELL GNB SECTOR ANT_30,MACRO CELL GNB SECTOR ANT_42,0.772703,4.061637,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_9,-7.720286,-4.397453,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_12,-7.720286,11.038974,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_15,-7.720286,9.935018,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_24,-7.720286,7.914402,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_35,-7.720286,-4.399073,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_36,-7.720286,10.504401,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_39,-7.720286,-6.117802,Handover offset conditions met,
320.50,UE_58,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_42,-7.720286,6.202301,Handover offset conditions met,
320.50,UE_109,MACRO CELL GNB SECTOR ANT_33,MACRO CELL GNB SECTOR ANT_21,16.207835,18.885587,Handover offset conditions met,
320.50,UE_82,MACRO CELL GNB SECTOR ANT_35,MACRO CELL GNB SECTOR ANT_9,7.644664,17.035161,Handover offset conditions met,
320.50,UE_82,MACRO CELL GNB SECTOR ANT_35,MACRO CELL GNB SECTOR ANT_14,7.644664,8.676110,Handover offset conditions met,
320.50,UE_82,MACRO CELL GNB SECTOR ANT_35,MACRO CELL GNB SECTOR ANT_36,7.644664,19.171178,Handover offset conditions met,
320.50,UE_87,MACRO CELL GNB SECTOR ANT_35,MACRO CELL GNB SECTOR ANT_9,2.052362,16.976053,Handover offset conditions met,
